Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Fasta.headers	Number.of.proteins	Peptides	Razor...unique.peptides	Unique.peptides	Peptides.621_1O2	Peptides.621_1O3	Peptides.621_1O4	Peptides.621_C3	Peptides.815_03_O1	Peptides.815_03_O2	Peptides.815_03_O5	Peptides.815_1_O6	Peptides.815_C_O4	Peptides.815_C_O5	Peptides.819_OOMP2_black_3_O4	Peptides.819_OOMP2_black_3_O5	Peptides.819_OOMP2_black_C_O4	Peptides.819_OOMP2_black_C_O5	Peptides.819_OOMP2_blue_1_only5	Razor...unique.peptides.621_1O2	Razor...unique.peptides.621_1O3	Razor...unique.peptides.621_1O4	Razor...unique.peptides.621_C3	Razor...unique.peptides.815_03_O1	Razor...unique.peptides.815_03_O2	Razor...unique.peptides.815_03_O5	Razor...unique.peptides.815_1_O6	Razor...unique.peptides.815_C_O4	Razor...unique.peptides.815_C_O5	Razor...unique.peptides.819_OOMP2_black_3_O4	Razor...unique.peptides.819_OOMP2_black_3_O5	Razor...unique.peptides.819_OOMP2_black_C_O4	Razor...unique.peptides.819_OOMP2_black_C_O5	Razor...unique.peptides.819_OOMP2_blue_1_only5	Unique.peptides.621_1O2	Unique.peptides.621_1O3	Unique.peptides.621_1O4	Unique.peptides.621_C3	Unique.peptides.815_03_O1	Unique.peptides.815_03_O2	Unique.peptides.815_03_O5	Unique.peptides.815_1_O6	Unique.peptides.815_C_O4	Unique.peptides.815_C_O5	Unique.peptides.819_OOMP2_black_3_O4	Unique.peptides.819_OOMP2_black_3_O5	Unique.peptides.819_OOMP2_black_C_O4	Unique.peptides.819_OOMP2_black_C_O5	Unique.peptides.819_OOMP2_blue_1_only5	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Sequence.length	Sequence.lengths	Q.value	Score	Identification.type.621_1O2	Identification.type.621_1O3	Identification.type.621_1O4	Identification.type.621_C3	Identification.type.815_03_O1	Identification.type.815_03_O2	Identification.type.815_03_O5	Identification.type.815_1_O6	Identification.type.815_C_O4	Identification.type.815_C_O5	Identification.type.819_OOMP2_black_3_O4	Identification.type.819_OOMP2_black_3_O5	Identification.type.819_OOMP2_black_C_O4	Identification.type.819_OOMP2_black_C_O5	Identification.type.819_OOMP2_blue_1_only5	Sequence.coverage.621_1O2....	Sequence.coverage.621_1O3....	Sequence.coverage.621_1O4....	Sequence.coverage.621_C3....	Sequence.coverage.815_03_O1....	Sequence.coverage.815_03_O2....	Sequence.coverage.815_03_O5....	Sequence.coverage.815_1_O6....	Sequence.coverage.815_C_O4....	Sequence.coverage.815_C_O5....	Sequence.coverage.819_OOMP2_black_3_O4....	Sequence.coverage.819_OOMP2_black_3_O5....	Sequence.coverage.819_OOMP2_black_C_O4....	Sequence.coverage.819_OOMP2_black_C_O5....	Sequence.coverage.819_OOMP2_blue_1_only5....	Intensity	Intensity.621_1O2	Intensity.621_1O3	Intensity.621_1O4	Intensity.621_C3	Intensity.815_03_O1	Intensity.815_03_O2	Intensity.815_03_O5	Intensity.815_1_O6	Intensity.815_C_O4	Intensity.815_C_O5	Intensity.819_OOMP2_black_3_O4	Intensity.819_OOMP2_black_3_O5	Intensity.819_OOMP2_black_C_O4	Intensity.819_OOMP2_black_C_O5	Intensity.819_OOMP2_blue_1_only5	LFQ.intensity.621_1O2	LFQ.intensity.621_1O3	LFQ.intensity.621_1O4	LFQ.intensity.621_C3	LFQ.intensity.815_03_O1	LFQ.intensity.815_03_O2	LFQ.intensity.815_03_O5	LFQ.intensity.815_1_O6	LFQ.intensity.815_C_O4	LFQ.intensity.815_C_O5	LFQ.intensity.819_OOMP2_black_3_O4	LFQ.intensity.819_OOMP2_black_3_O5	LFQ.intensity.819_OOMP2_black_C_O4	LFQ.intensity.819_OOMP2_black_C_O5	LFQ.intensity.819_OOMP2_blue_1_only5	MS.MS.count.621_1O2	MS.MS.count.621_1O3	MS.MS.count.621_1O4	MS.MS.count.621_C3	MS.MS.count.815_03_O1	MS.MS.count.815_03_O2	MS.MS.count.815_03_O5	MS.MS.count.815_1_O6	MS.MS.count.815_C_O4	MS.MS.count.815_C_O5	MS.MS.count.819_OOMP2_black_3_O4	MS.MS.count.819_OOMP2_black_3_O5	MS.MS.count.819_OOMP2_black_C_O4	MS.MS.count.819_OOMP2_black_C_O5	MS.MS.count.819_OOMP2_blue_1_only5	MS.MS.count	Only.identified.by.site	Reverse	Potential.contaminant	id	Peptide.IDs	Peptide.is.razor	Mod..peptide.IDs	Evidence.IDs	MS.MS.IDs	Best.MS.MS	Oxidation..M..site.IDs	Oxidation..M..site.positions
B3IVN4	B3IVN4	12	4	4	tr|B3IVN4|B3IVN4_BOVIN Pyruvate kinase (Fragment) OS=Bos taurus OX=9913 GN=PKM PE=2 SV=1	1	12	4	4	9	9	4	8	6	3	5	5	6	5	7	7	8	10	8	3	4	2	3	3	0	3	3	2	2	1	2	3	3	2	3	4	2	3	3	0	3	3	2	2	1	2	3	3	2	55	11.4	11.4	16.527	149	149	0	35.982	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	49	34.2	14.8	34.2	24.2	14.1	21.5	19.5	35.6	29.5	34.9	31.5	40.9	50.3	40.3	475550000	73606000	60886000	77692000	51433000	30384000	0	62829000	13869000	20385000	46321000	0	4644800	18862000	8027000	6611400	59898000	29843000	84864000	41838000	49608000	0	68875000	41606000	0	52017000	0	0	32775000	18061000	32526000	5	5	3	5	3	0	3	3	3	2	1	2	2	1	0	38				1012	2950;2951;7450;8164	False;False;False;True;True;False;False;True;True;False;False;False	1358;1359;2783;2994;2995;4623;4855;7554;8279;10406;16287;17315	9701;9702;9703;9704;9705;9706;9707;9708;9709;9710;9711;9712;9713;9714;9715;9716;9717;9718;9719;9720;9721;9722;20823;20824;23192;23193;23194;23195;23196;23197;23198;23199;23200;23201;23202;23203;23204;23205;23206;23207;23208;23209;23210;23211;23212;23213;23214;23215;23216;23217;23218;23219;23220;23221;23222;23223;23224;23225;23226;23227;35631;35632;35633;35634;35635;37144;37145;37146;37147;56944;56945;62895;62896;62897;62898;62899;62900;62901;62902;62903;81271;81272;81273;81274;81275;81276;81277;81278;127964;127965;127966;127967;127968;127969;127970;127971;127972;127973;136363;136364;136365;136366;136367;136368;136369;136370;136371;136372;136373;136374;136375;136376;136377;136378;136379;136380	10163;10164;10165;10166;10167;10168;10169;10170;10171;10172;10173;10174;10175;10176;10177;10178;10179;10180;10181;10182;10183;10184;21704;21705;23765;23766;23767;23768;23769;23770;23771;23772;23773;23774;23775;23776;23777;23778;23779;23780;23781;23782;23783;23784;23785;23786;23787;23788;23789;23790;23791;23792;23793;23794;23795;23796;36511;36512;37959;37960;37961;37962;58040;64310;64311;64312;64313;64314;64315;83083;83084;83085;83086;83087;131061;131062;131063;131064;131065;131066;131067;131068;131069;131070;131071;131072;131073;139950;139951;139952;139953;139954;139955;139956;139957;139958;139959;139960;139961;139962;139963;139964;139965;139966;139967;139968;139969;139970	10164;10183;21705;23766;23788;36512;37962;58040;64314;83086;131063;139968		
Q7YS26;B3V7E5;Q6PX77	Q7YS26;B3V7E5;Q6PX77	4;4;4	4;4;4	4;4;4	tr|Q7YS26|Q7YS26_BOVIN Bone morphogenetic protein 15 (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;tr|B3V7E5|B3V7E5_BOVIN Bone morphogenetic protein 15 (Fragment) OS=Bos taurus OX=9913 GN=BMP15 PE=3 SV=1;sp|Q6PX77|BMP15_BOVIN Bone morphogenetic protein 15 OS=	3	4	4	4	1	1	0	0	1	0	1	0	0	0	1	0	1	1	2	1	1	0	0	1	0	1	0	0	0	1	0	1	1	2	1	1	0	0	1	0	1	0	0	0	1	0	1	1	2	12.1	12.1	12.1	27.346	240	240;284;394	0	3.1798	By MS/MS	By MS/MS			By MS/MS		By MS/MS				By MS/MS		By matching	By matching	By MS/MS	6.2	6.2	0	0	6.2	0	5.8	0	0	0	5	0	2.9	5	5	70603000	0	17019000	0	0	0	0	0	0	0	0	3327700	0	14459000	2988400	32809000	0	8364900	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	1	7				1013	2739;3125;4987;11229	True;True;True;True	2782;3171;5049;11437	20821;20822;24657;24658;24659;38568;38569;38570;88976	21703;25301;39423;39424;39425;39426;90993	21703;25301;39425;90993		
B6VAP7;Q2KJ93;F1MND1	B6VAP7;Q2KJ93	7;7;3	7;7;3	7;7;3	tr|B6VAP7|B6VAP7_BOVIN Cell division control protein 42 homolog OS=Bos taurus OX=9913 GN=CDC42 PE=2 SV=1;sp|Q2KJ93|CDC42_BOVIN Cell division control protein 42 homolog OS=Bos taurus OX=9913 GN=CDC42 PE=1 SV=1	3	7	7	7	1	5	2	2	1	1	1	1	2	1	1	1	2	1	1	1	5	2	2	1	1	1	1	2	1	1	1	2	1	1	1	5	2	2	1	1	1	1	2	1	1	1	2	1	1	34	34	34	21.243	191	191;191;186	0	14.842	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.2	17.3	16.2	11	5.2	5.2	5.2	5.2	16.2	5.2	5.2	5.2	16.2	5.2	5.2	330960000	30576000	117010000	15805000	21916000	18604000	9739100	15554000	4916600	17687000	10344000	2518600	21010000	13408000	9103400	22770000	0	57512000	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3	2	1	0	1	1	3	1	0	1	2	1	1	26				1015	1919;2628;11490;14658;16620;17071;17072	True;True;True;True;True;True;True	1949;2666;11702;14929;16926;17380;17381	14275;14276;19959;91114;91115;116518;116519;116520;116521;133346;136854;136855;136856;136857;136858;136859;136860;136861;136862;136863;136864;136865;136866;136867;136868;136869;136870	14879;14880;20840;93352;93353;119084;119085;119086;119087;136676;140566;140567;140568;140569;140570;140571;140572;140573;140574;140575;140576;140577;140578;140579;140580;140581;140582	14880;20840;93353;119085;136676;140567;140582		
Q29RS5;B9VR25	Q29RS5;B9VR25	2;2	2;2	2;2	sp|Q29RS5|RARR2_BOVIN Retinoic acid receptor responder protein 2 OS=Bos taurus OX=9913 GN=RARRES2 PE=2 SV=1;tr|B9VR25|B9VR25_BOVIN Chemerin OS=Bos taurus OX=9913 PE=2 SV=1	2	2	2	2	2	2	0	2	0	0	2	0	2	2	0	0	0	0	0	2	2	0	2	0	0	2	0	2	2	0	0	0	0	0	2	2	0	2	0	0	2	0	2	2	0	0	0	0	0	13.6	13.6	13.6	18.357	162	162;162	0	5.2192	By MS/MS	By MS/MS		By MS/MS			By MS/MS		By MS/MS	By MS/MS						13.6	13.6	0	13.6	0	0	13.6	0	13.6	13.6	0	0	0	0	0	145650000	8375200	21836000	0	30606000	0	0	27763000	0	29239000	27828000	0	0	0	0	0	0	0	0	28215000	0	0	35281000	0	0	35306000	0	0	0	0	0	2	2	0	4	0	0	1	0	3	3	0	0	0	0	0	15				1016	8085;10355	True;True	8200;10544	62526;62527;62528;62529;62530;62531;62532;62533;82401;82402;82403;82404;82405;82406;82407	63956;63957;63958;63959;63960;63961;63962;63963;84300;84301;84302;84303;84304;84305;84306;84307	63959;84304		
P10790;C0LSL0;Q58DW1;A0A0U1WLT2;Q6VTH7;A0A0A0YT41	P10790;C0LSL0;Q58DW1	10;10;5;4;3;3	10;10;5;4;3;3	10;10;5;4;3;3	sp|P10790|FABPH_BOVIN Fatty acid-binding protein, heart OS=Bos taurus OX=9913 GN=FABP3 PE=1 SV=2;tr|C0LSL0|C0LSL0_BOVIN Heart fatty acid-binding protein OS=Bos taurus OX=9913 GN=H-FABP PE=2 SV=1;tr|Q58DW1|Q58DW1_BOVIN Fatty acid binding protein 3 OS=Bos ta	6	10	10	10	6	3	5	4	5	1	5	3	7	4	5	4	4	4	6	6	3	5	4	5	1	5	3	7	4	5	4	4	4	6	6	3	5	4	5	1	5	3	7	4	5	4	4	4	6	52.6	52.6	52.6	14.779	133	133;133;98;24;56;57	0	93.965	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.6	26.3	33.1	33.1	33.1	6.8	34.6	22.6	45.1	33.1	22.6	22.6	24.1	27.8	33.1	2226200000	64316000	30179000	105300000	51512000	148400000	0	256680000	77658000	319680000	327880000	257560000	185090000	90083000	79366000	232450000	116100000	40998000	142690000	73277000	176610000	0	368410000	199170000	303760000	435600000	233340000	169430000	136170000	138170000	177020000	6	2	4	6	3	1	7	3	6	7	6	5	5	3	6	70				1017	8373;8374;8375;8487;9473;13158;15270;15271;15272;16582	True;True;True;True;True;True;True;True;True;True	8490;8491;8492;8605;9603;13408;15555;15556;15557;16888	65789;65790;65791;65792;65793;65794;65795;65796;65797;65798;65799;65800;65801;65802;65803;65804;65805;65806;66483;74716;74717;74718;74719;74720;74721;74722;74723;74724;74725;74726;74727;74728;74729;74730;74731;74732;74733;104383;104384;104385;104386;104387;104388;104389;104390;104391;104392;104393;104394;104395;104396;122115;122116;122117;122118;122119;122120;122121;122122;122123;122124;122125;122126;122127;122128;122129;122130;122131;122132;122133;122134;122135;122136;122137;122138;122139;122140;133053	67296;67297;67298;67299;67300;67301;67302;67303;67304;67305;67306;67307;67308;67309;67310;67311;67312;67313;67314;67315;68006;76493;76494;76495;76496;76497;76498;76499;76500;76501;76502;76503;76504;76505;76506;76507;76508;76509;106545;106546;106547;106548;106549;106550;106551;106552;106553;106554;106555;106556;125027;125028;125029;125030;125031;125032;125033;125034;125035;125036;125037;125038;125039;125040;125041;125042;125043;125044;125045;125046;125047;125048;125049;125050;125051;125052;136343	67297;67302;67315;68006;76500;106548;125039;125048;125049;136343		
C1JZ66	C1JZ66	6	6	6	sp|C1JZ66|IMA8_BOVIN Importin subunit alpha-8 OS=Bos taurus OX=9913 GN=KPNA7 PE=1 SV=2	1	6	6	6	3	4	2	4	4	0	3	1	3	4	2	3	3	2	2	3	4	2	4	4	0	3	1	3	4	2	3	3	2	2	3	4	2	4	4	0	3	1	3	4	2	3	3	2	2	13.6	13.6	13.6	57.362	522	522	0	47.117	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.3	10.7	4.4	7.9	10	0	7.3	2.1	7.3	10.7	6.3	7.9	8.4	5	5.6	293300000	21726000	57282000	17145000	15651000	23865000	0	36811000	5256700	27414000	27872000	6008900	18591000	25066000	4994800	5616400	21799000	27529000	23700000	0	21166000	0	28276000	0	27412000	37700000	0	24537000	29723000	0	0	6	5	2	4	3	0	3	1	6	3	2	4	4	2	2	47				1018	2676;2942;6228;10628;11199;11200	True;True;True;True;True;True	2714;2986;6312;10822;11407;11408	20223;20224;20225;20226;20227;20228;20229;23047;23048;48334;48335;48336;48337;48338;48339;48340;48341;84335;84336;84337;84338;84339;84340;84341;84342;84343;84344;88713;88714;88715;88716;88717;88718;88719;88720;88721;88722;88723;88724;88725;88726;88727;88728	21091;21092;21093;21094;21095;21096;21097;21098;23599;23600;49598;49599;49600;49601;49602;49603;49604;49605;49606;49607;49608;86297;86298;86299;86300;86301;86302;86303;86304;86305;86306;90736;90737;90738;90739;90740;90741;90742;90743;90744;90745;90746;90747;90748;90749;90750;90751	21094;23599;49605;86297;90745;90751		
P62326;C1K3N7;G8JKY5;A0A3Q1MS48;A0A3Q1MJ46;Q6Y1E1;A0A3Q1LXR1;A0A0A0MPA1	P62326;C1K3N7;G8JKY5;A0A3Q1MS48;A0A3Q1MJ46	7;7;5;4;4;3;3;3	7;7;5;4;4;3;3;3	7;7;5;4;4;3;3;3	sp|P62326|TYB4_BOVIN Thymosin beta-4 OS=Bos taurus OX=9913 GN=TMSB4 PE=1 SV=2;tr|C1K3N7|C1K3N7_BOVIN Thymosin beta OS=Bos taurus OX=9913 GN=TMSB4X PE=2 SV=1;tr|G8JKY5|G8JKY5_BOVIN Thymosin beta OS=Bos taurus OX=9913 GN=TMSB4X PE=3 SV=2;tr|A0A3Q1MS48|A0A3Q1	8	7	7	7	4	5	5	5	5	4	3	4	4	4	4	5	6	5	4	4	5	5	5	5	4	3	4	4	4	4	5	6	5	4	4	5	5	5	5	4	3	4	4	4	4	5	6	5	4	88.6	88.6	88.6	5.0526	44	44;44;50;72;73;44;44;68	0	187.99	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	72.7	86.4	86.4	72.7	86.4	72.7	72.7	72.7	72.7	72.7	72.7	86.4	88.6	86.4	72.7	14074000000	878220000	1543000000	570180000	1620200000	1396500000	799270000	541000000	458480000	599850000	556150000	605840000	1997800000	1185900000	547610000	774310000	1125800000	728510000	1075700000	1681300000	1145300000	1051600000	506930000	833350000	483010000	654160000	899260000	1328600000	1091800000	824860000	920870000	11	10	12	17	19	19	12	6	7	6	14	17	15	10	13	188				1019	7649;10845;10846;11124;12541;12542;14168	True;True;True;True;True;True;True	7754;11046;11047;11330;12771;12772;12773;12774;14428	58538;85944;85945;85946;85947;85948;85949;85950;85951;85952;85953;85954;85955;85956;85957;85958;85959;85960;85961;85962;85963;85964;85965;85966;85967;85968;85969;85970;85971;85972;85973;85974;85975;85976;85977;85978;85979;85980;85981;85982;85983;85984;85985;85986;85987;85988;85989;85990;85991;85992;85993;85994;85995;85996;85997;85998;85999;86000;86001;86002;86003;86004;86005;86006;86007;86008;86009;86010;86011;86012;86013;86014;88017;99556;99557;99558;99559;99560;99561;99562;99563;99564;99565;99566;99567;99568;99569;99570;99571;99572;99573;99574;99575;99576;99577;99578;99579;99580;99581;99582;99583;99584;99585;99586;99587;99588;99589;99590;99591;99592;99593;99594;99595;99596;99597;99598;99599;99600;99601;99602;99603;99604;99605;99606;99607;99608;99609;99610;99611;99612;99613;99614;99615;99616;99617;99618;99619;99620;99621;99622;99623;99624;99625;99626;99627;99628;99629;99630;99631;99632;99633;99634;99635;99636;99637;99638;99639;99640;112774;112775;112776;112777;112778;112779	59682;87911;87912;87913;87914;87915;87916;87917;87918;87919;87920;87921;87922;87923;87924;87925;87926;87927;87928;87929;87930;87931;87932;87933;87934;87935;87936;87937;87938;87939;87940;87941;87942;87943;87944;87945;87946;87947;87948;87949;87950;87951;87952;87953;87954;87955;87956;87957;87958;87959;87960;87961;87962;87963;87964;87965;87966;87967;87968;87969;87970;87971;87972;87973;87974;87975;87976;87977;87978;87979;87980;87981;90037;101606;101607;101608;101609;101610;101611;101612;101613;101614;101615;101616;101617;101618;101619;101620;101621;101622;101623;101624;101625;101626;101627;101628;101629;101630;101631;101632;101633;101634;101635;101636;101637;101638;101639;101640;101641;101642;101643;101644;101645;101646;101647;101648;101649;101650;101651;101652;101653;101654;101655;101656;101657;101658;101659;101660;101661;101662;101663;101664;101665;101666;101667;101668;101669;101670;101671;101672;101673;101674;101675;101676;101677;101678;101679;101680;101681;101682;101683;101684;101685;101686;101687;101688;101689;101690;101691;101692;101693;101694;101695;101696;101697;101698;101699;101700;101701;101702;101703;101704;101705;101706;101707;101708;101709;101710;101711;101712;101713;101714;101715;101716;101717;101718;101719;101720;101721;101722;101723;101724;115153;115154;115155;115156	59682;87914;87956;90037;101617;101627;115155	87	7
Q3SZ19;C3V9V8	Q3SZ19;C3V9V8	7;7	7;7	7;7	sp|Q3SZ19|PSMD9_BOVIN 26S proteasome non-ATPase regulatory subunit 9 OS=Bos taurus OX=9913 GN=PSMD9 PE=1 SV=1;tr|C3V9V8|C3V9V8_BOVIN 26S proteasome non-ATPase regulatory subunit 9 OS=Bos taurus OX=9913 GN=PSMD9 PE=3 SV=1	2	7	7	7	3	4	3	3	2	0	2	0	0	0	0	2	2	1	1	3	4	3	3	2	0	2	0	0	0	0	2	2	1	1	3	4	3	3	2	0	2	0	0	0	0	2	2	1	1	31.2	31.2	31.2	24.266	221	221;221	0	13.175	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS					By MS/MS	By MS/MS	By matching	By matching	14.9	26.7	14.9	16.3	11.8	0	10	0	0	0	0	10.9	10	4.5	5.4	153000000	25826000	33471000	35014000	24726000	5894600	0	1174400	0	0	0	0	9282500	11074000	2324000	4215200	24154000	19908000	54683000	23505000	0	0	0	0	0	0	0	0	0	0	0	2	4	3	3	2	0	1	0	0	0	0	3	2	0	0	20				1020	1324;2574;2575;2760;4992;5759;12063	True;True;True;True;True;True;True	1339;2612;2613;2803;5054;5827;12283	9611;9612;9613;19377;19378;19379;19380;19381;20977;20978;38581;38582;38583;38584;38585;38586;38587;44546;44547;44548;96249;96250;96251;96252	10079;20185;20186;20187;20188;21864;21865;39439;39440;39441;39442;39443;39444;39445;45709;45710;45711;98244;98245;98246;98247	10079;20185;20187;21864;39443;45710;98244		
CON__A2A4G1	CON__A2A4G1	13	2	2		1	13	2	2	4	11	10	7	5	2	6	5	6	4	5	8	6	7	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16.9	6.4	6.4	49.493	456	456	0.0019608	1.6836	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	3.9	10.5	16.2	9.9	7.5	3.9	7.5	7.5	9.4	3.9	7	7.9	7.9	9.4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2			+	1021	1028;2125	True;True;False;False;False;False;False;False;False;False;False;False;False	1037;2160;7885;7886;8071;8074;8256;12544;15011;16016;16580;16581;16582;16583;16584;16585	7576;16379;60097;60098;60099;60100;60101;60102;60103;60104;60105;60106;60107;60108;60109;60110;60111;60112;61406;61407;61408;61409;61410;61411;61412;61413;61414;61415;61416;61452;61453;61454;61455;61456;61457;61458;61459;61460;61461;61462;61463;61464;61465;61466;61467;61468;61469;61470;61471;61472;61473;61474;61475;61476;61477;61478;61479;61480;61481;61482;61483;61484;61485;61486;61487;61488;61489;61490;61491;61492;61493;61494;62737;62738;62739;62740;97932;117060;117061;117062;117063;117064;125863;125864;125865;125866;125867;125868;125869;125870;125871;125872;125873;125874;130697;130698;130699;130700;130701;130702;130703;130704;130705;130706;130707;130708;130709;130710;130711;130712;130713;130714;130715;130716;130717;130718;130719;130720;130721;130722;130723;130724;130725;130726;130727;130728;130729;130730;130731;130732;130733;130734;130735;130736;130737;130738;130739;130740;130741;130742;130743;130744;130745;130746;130747;130748;130749;130750;130751;130752;130753;130754;130755;130756;130757;130758;130759;130760;130761;130762;130763;130764;130765;130766;130767;130768;130769;130770;130771	7949;17099;61338;61339;61340;61341;61342;61343;61344;61345;61346;61347;61348;61349;61350;61351;61352;61353;61354;62728;62729;62730;62731;62732;62733;62734;62770;62771;62772;62773;62774;62775;62776;62777;62778;62779;62780;62781;62782;62783;62784;62785;62786;62787;62788;62789;62790;62791;62792;62793;62794;62795;62796;62797;62798;62799;62800;62801;62802;62803;62804;62805;62806;62807;62808;62809;62810;62811;62812;62813;62814;62815;64151;64152;64153;99969;119611;119612;119613;119614;119615;128929;128930;128931;128932;128933;128934;128935;128936;128937;128938;128939;128940;128941;128942;133845;133846;133847;133848;133849;133850;133851;133852;133853;133854;133855;133856;133857;133858;133859;133860;133861;133862;133863;133864;133865;133866;133867;133868;133869;133870;133871;133872;133873;133874;133875;133876;133877;133878;133879;133880;133881;133882;133883;133884;133885;133886;133887;133888;133889;133890;133891;133892;133893;133894;133895;133896;133897;133898;133899;133900;133901;133902;133903;133904;133905;133906;133907;133908;133909;133910;133911;133912;133913;133914;133915;133916;133917;133918;133919;133920;133921;133922;133923;133924;133925;133926;133927;133928	7949;17099;61341;61350;62728;62780;64152;99969;119611;128933;133861;133878;133906	88;89;90	102;375;384
P01030;F1MVK1;CON__ENSEMBL:ENSBTAP00000007350;E1BH06;CON__P01030	P01030;F1MVK1;CON__ENSEMBL:ENSBTAP00000007350;E1BH06;CON__P01030	3;3;3;2;2	3;3;3;2;2	3;3;3;2;2	sp|P01030|CO4_BOVIN Complement C4 (Fragments) OS=Bos taurus OX=9913 GN=C4 PE=1 SV=2;tr|F1MVK1|F1MVK1_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 GN=LOC107131209 PE=4 SV=3;;tr|E1BH06|E1BH06_BOVIN Complement component 4A OS=Bos taurus OX=9913 GN=C4A 	5	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	3.5	3.5	101.55	920	920;1735;1742;1741;1741	0	4.1881		By MS/MS														0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	12739000	0	12739000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6261500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4			+	1022	8347;8348;16087	True;True;True	8464;8465;16385	65658;65659;128872	67162;67163;67164;132045	67163;67164;132045		
CON__ENSEMBL:ENSBTAP00000014147;A0A6B9SEF7;A0A3Q1M1Z4;A0A3Q1LSF0	CON__ENSEMBL:ENSBTAP00000014147;A0A6B9SEF7;A0A3Q1M1Z4;A0A3Q1LSF0	2;1;1;1	2;1;1;1	2;1;1;1	;tr|A0A6B9SEF7|A0A6B9SEF7_BOVIN Ig lamda chain variable region (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;tr|A0A3Q1M1Z4|A0A3Q1M1Z4_BOVIN Ig-like domain-containing protein OS=Bos taurus OX=9913 PE=4 SV=1;tr|A0A3Q1LSF0|A0A3Q1LSF0_BOVIN Ig-like domain-contain	4	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	25.7	25.7	25.7	11.756	113	113;113;128;142	0	25.015	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.3	25.7	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	13.3	649560000	16298000	112120000	49991000	113180000	23984000	29567000	19946000	32320000	26499000	22490000	28645000	13856000	102340000	50175000	8151800	0	0	0	0	0	0	0	0	0	0	0	0	0	85797000	0	1	4	3	1	1	2	1	1	1	1	1	1	1	2	1	22			+	1023	15905;16198	True;True	16199;16496	127315;127316;127317;127318;127319;127320;127321;127322;127323;127324;127325;127326;127327;127328;127329;127330;127331;127332;127333;129872	130441;130442;130443;130444;130445;130446;130447;130448;130449;130450;130451;130452;130453;130454;130455;130456;130457;130458;130459;130460;130461;133010	130446;133010		
